price,lat,long,Bathroom,Bedroom,sqft,land
15000000,6.9397426,79.9023413,1,2,1200.0 sqft,4.0 perches
48500000,6.8430139,79.9655312,4,4,2880.0 sqft,8.0 perches
22500000,6.9372438,79.8962142,3,5,3600.0 sqft,12.5 perches
125000000,6.8483963,79.8977298,4,4,3500.0 sqft,7.5 perches
20000000,6.9372438,79.8962142,2,4,2100.0 sqft,7.0 perches
35000000,6.9372438,79.8962142,2,6,3000.0 sqft,10.47 perches
55000000,6.955401,79.8801069,3,4,2200.0 sqft,7.45 perches
25000000,6.8412384,80.0034457,2,6,2744.0 sqft,10.0 perches
72000000,6.8763201,79.9353613,3,4,2859.0 sqft,10.5 perches
58000000,6.8804849,79.9599002,3,4,2707.0 sqft,7.0 perches
45000000,6.9372438,79.8962142,3,6,1200.0 sqft,4.0 perches
29500000,6.7999509,79.9231171,3,4,3000.0 sqft,10.0 perches
43000000,6.8699688,79.8882835,2,2,2250.0 sqft,7.75 perches
65000000,6.7744287,79.881772,3,4,2790.0 sqft,21.59 perches
38000000,6.8594537,80.0282553,5,5,3300.0 sqft,12.21 perches
57500000,6.8410598,79.9017028,2,4,3500.0 sqft,10.22 perches
58000000,6.8790077,79.9218458,3,4,3200.0 sqft,6.0 perches
68500000,6.8512785,79.8659769,3,4,3500.0 sqft,6.5 perches
28500000,6.9040723,79.9546189,2,3,1300.0 sqft,6.0 perches
14500000,6.850694,80.0324106,2,3,2723.0 sqft,10.0 perches
27500000,6.8472783,79.9266082,2,4,2200.0 sqft,7.75 perches
53000000,6.9040723,79.9546189,5,5,4100.0 sqft,10.0 perches
20000000,6.7873127,79.963865,2,3,1300.0 sqft,6.0 perches
36500000,6.8430139,79.9655312,3,4,2800.0 sqft,6.5 perches
65000000,6.9021809,79.9195776,3,4,2300.0 sqft,9.0 perches
270000000,6.9095041,79.8962176,4,5,6000.0 sqft,10.0 perches
96000000,6.869201,79.8901108,4,4,3000.0 sqft,21.5 perches
17000000,6.7999509,79.9231171,2,3,1508.0 sqft,12.0 perches
39000000,6.9040723,79.9546189,3,4,2500.0 sqft,7.0 perches
95000000,6.9021809,79.9195776,3,4,4300.0 sqft,8.0 perches
115000000,6.8828264,79.9334507,5,4,3500.0 sqft,10.24 perches
55000000,6.9040723,79.9546189,2,3,1707.0 sqft,11.0 perches
30000000,6.8699688,79.8882835,2,3,1126.0 sqft,7.0 perches
200000000,6.9095041,79.8962176,3,5,4000.0 sqft,22.0 perches
150000000,6.9040723,79.9546189,4,5,4800.0 sqft,64.0 perches
76500000,6.8772464,79.9899292,4,4,4917.0 sqft,10.0 perches
18500000,6.8772464,79.9899292,2,3,1200.0 sqft,6.0 perches
49500000,6.850694,80.0324106,4,4,4788.0 sqft,12.0 perches
21500000,6.8772464,79.9899292,3,3,1300.0 sqft,7.0 perches
38500000,6.9040723,79.9546189,3,4,2850.0 sqft,10.2 perches
36500000,6.8772464,79.9899292,2,4,2700.0 sqft,10.0 perches
31000000,6.8155106,79.9716074,3,4,2400.0 sqft,7.0 perches
39000000,6.7746821,79.8826095,3,5,3600.0 sqft,12.0 perches
54000000,6.7999509,79.9231171,5,5,1907.0 sqft,18.0 perches
110000000,6.8670544,79.8847353,4,3,2500.0 sqft,12.0 perches
22500000,6.8772464,79.9899292,2,3,1200.0 sqft,6.5 perches
46000000,6.7999509,79.9231171,4,5,3412.0 sqft,7.0 perches
60000000,6.9095041,79.8962176,3,4,3000.0 sqft,12.0 perches
42000000,6.8772464,79.9899292,4,4,3200.0 sqft,8.0 perches
37500000,6.7999509,79.9231171,3,4,3145.0 sqft,7.0 perches
35000000,6.8430139,79.9655312,3,4,3000.0 sqft,10.0 perches
85000000,6.8412384,80.0034457,6,7,3150.0 sqft,10.5 perches
20000000,6.7999509,79.9231171,2,3,1425.0 sqft,6.0 perches
32500000,6.7746821,79.8826095,4,4,2650.0 sqft,20.0 perches
22500000,6.7831285,79.9839654,2,4,2110.0 sqft,8.0 perches
42000000,6.7999509,79.9231171,3,4,2875.0 sqft,8.0 perches
38000000,6.8772464,79.9899292,3,4,2400.0 sqft,8.0 perches
39000000,6.8430139,79.9655312,4,5,2880.0 sqft,8.0 perches
45000000,6.7999509,79.9231171,4,5,3611.0 sqft,6.4 perches
22500000,6.7999509,79.9231171,2,3,1475.0 sqft,6.4 perches
48000000,6.8472783,79.9266082,3,4,2800.0 sqft,7.0 perches
